에너지자원공학실습,박형동,23,Fall,5.0,"엄청난 꿀강
박형동 그는 신인가?
신 그는 형동인가?
👍👍"
(공유)에너지빅데이터분석,한승용,23,Summer,4.0,"60% 비중 기말플젝 전까진 적당히 비대면으로 꿀빨다가 기말플젝에서 난이도 폭발 (대충하려면 할수는 있는데 제대로 하긴 빡셈)
AI든 에너지쪽이든 둘다 모르고 오면 매우 힘들고 전자를 찍먹해보고 온 본인은 적당히 이해 포기해 가면서 따라갈 수는 있었음
조교님 친절하시고 성적은... 기말플젝에 4일 통째로 갈아넣어서 결과물 잘 나온지라 잘 받긴 했는데 망한사람 이야기도 들어봐야 할듯"
(공유)신에너지공학개론,박상욱,22,Fall,3.0,"총평 : 전문대 교수의 강의에 대한 편견이 생길 것만 같다. 학점은 잘 주지만 얻어갈 건 없는 과목

강의 : 세 명의 교수님이 번갈아 하셨다. 서로 무슨 내용을 가르치는지 모르는 것처럼 겹치는 내용도 있었다. 작년인지 재작년인지는 기억이 안 나지만 재탕 강의였는데 강의자료 오류 등이 업데이트되지 않고 주어져서 어이가 없었다. 두번째 교수님만 좋았고 나머지는 별로였다. 두번째 교수님은 서울대에서 들어본 강의를 다 포함해도 손에 꼽을 정도로 이해가 잘 되게 가르쳤다. 첫번째 교수님은 본인도 수업하기 싫어하는 것 같았고 세번째 교수님 수업은 거의 귀에 안 들어왔다.

조교 : office hour가 있긴 하지만 우리 학교 교수님이 강의하시는 것도 아니고 조교님도 강의를 안 들었을 것이기 때문에 질문을 할 수 없다. 그냥 해당 강의 교수님께 메일로 바로 질문하자. 그런데 중간고사 전에 질문했던 내용을 중간고사 다 보고 나서 답변받았었다. 버려진 과목인가?

시험 : 교양 수준으로 쉽게 나온다. 기본지식이 있으면 강의자료를 한 번만 읽어봐도 풀 수 있는 수준이다. ox, 객관식, 단답형, 서술형 모두 나온다. 창의적인 문제도 있지만 어렵지 않았다. 지엽적인 문제는 안 나온다. 고생하지 말자.
절대평가라 성적은 잘 나왔다.

과제 : 매우 귀찮은 과제가 매주 있다. 파이팅^^"
에너지 데이터 사이언스,정훈영,22,Fall,5.0,"수업이 굉장히 틀이잡혀있음
교수님 하란대로만 하면되고 성적못받으면 당신탓
(나도 잘못받았는데 내탓)"
에너지자원공학개론,정훈영,22,Fall,5.0,"갓훈영 교수님께서 이번 학기 에자공개 맡아주셔서 좋았습니다...
성적은 절대평가로 진행된다고 학기초에 이야기해주셨는데 85이상 A로 기억하고, 이 부분은 교수님께서 학기 말에 최종 성적 분포를 보고 조절할 수 있다고 얘기하셨습니다.
여러 연사분께서 강의해주셨는데, 대부분은 유익했습니다. 이쪽 분야에 관심이 있으면 꽤 재밌게 들을 수 있는 부분들이었습니다.
기말고사가 꽤나 지엽적으로 나오는데, 정훈영 교수님께서 출제 범위를 집어주셔서 부담이 많이 줄었습니다. 학기말에 ppt를 모으면 1000페이지가 넘어가는데 이걸 다 공부했을 생각하니까 아찔하네요.
에자공개 담당 교수님이 매년 바뀌시는 것 같은데, 정훈영 교수님이 아니셨다면 이렇게 좋은 평가가 나오지는 않았을 것 같아요~
유일한 단점이라면 책팔이 교수님 한분 계시다는거~"
에너지자원공학개론,정훈영,22,Fall,5.0,"강의 내용: 에너지자원공학과 교수님들이 돌아가면서 강의하는 방식으로 수업이 진행됩니다. 에너지자원공학 내용 전반을 다루는데, 모든 교수님들이 기후변화에 대해 언급하시지만 강의의 주요 내용은 에너지자원공학의 여러 분야들에 대한 설명(지하구조물, 신재생에너지, 석유공학, 암반공학, 에너지자원환경 등등)입니다. 

과제: 매주 과제에 대한 요약문을 제출하는 과제와 10분 내로 끝나는 퀴즈가 있습니다. 퀴즈는 거의 학점에 반영되지 않는 것 같고 요약문을  3페이지 이상 꼼꼼하게 작성하면 가산점을 주기 때문에 요약문을 잘 쓰는 것이 생각보다 중요합니다. 비중은 35%입니다. 

출석: 직접호명 방식으로 진행합니다. 2시 정각에 없으면 지각처리되는 엄격한 방식입니다. 추가로 수업중 발표나 질문 등 수업참여를 하면 가산점을 주었습니다. 

시험: 기말고사 한번입니다. 기말고사 비중이 50%으로 아주 중요한데, 이번 학기에 정훈영 교수님이 맡으셔서 아주 합리적인 방식의 시험이 되었습니다. 기말고사에 출제될 파트를 30개 정도로 제시해 주셨고 이 파트에서 시험문제가 모두 나왔습니다. 시험문제는 객관식, 단답형, OX방식으로만 나오고 정훈영 교수님이 나온다고 하셨던 계산문제가 2문제 나왔고, 45점 만점에서 각각 5점, 3점으로 출제되었기 때문에 계산문제는 무조건 맞춰야 되는 시험이었습니다. 
저는 에너지자원공학에 흥미가 많아 평소에 수업을 열심히 들었고, 시험 출제되는 부분을 거의 다 암기해 45점 만점에서 40점을 받았습니다. 평균은 30점이었고 최고점은 43점으로 나왔습니다. 출제 범위를 명확히 정해주셔서 생각보다 암기할 내용이 적었던 것 같습니다.

학점: 저는 전체적으로 수업을 열심히 듣고, 요약문 가산점+수업참여 몇 번을 해서 A+을 받았는데, 성적을 어떻게 주시는지 모르겠으나 이전까지 강의평을 보면 343으로 잘라 주시는 것 같아 성적을 잘 준다고 하기에는 어려울 것 같습니다.

총평: 다른 공학개론은 들어보지 않았지만 수업 내용의 경우 문과 학생들도 모두 이해할 정도로 쉽고, 과제가 많지 않은데다 정훈영 교수님이 시험문제를 너무 지엽적인 부분에서 내지 않도록 관리해 주셔서 공학개론으로 선택하기 좋은 수업이라 생각합니다. 다만 정훈영 교수님 외에 다른 교수님이 수업하신다면 기말고사가 엄청난 양의 암기를 요구할 수 있어 주의할 필요가 있습니다."
에너지자원공학개론,정훈영,22,Fall,2.0,다 좋았는데 책팔이 하시는 교수님이 계세요 저는 운 좋게 전자도서관에서 빌려 봤는데 구조상 대부분은 사서 보셨어야 될 듯..
전력 및 에너지시스템의 기초,최성휘,22,Fall,3.0,"진짜 솔직히 영어 못알아듣겠음ㅋㅋ
Z를 제이라고 발음하고 발음 다 샘"
전력 및 에너지시스템의 기초,최성휘,22,Fall,5.0,"Cui! Cui! Cui! Cui! Cui! Cui! Cui! Cui! Cui! Cui!
교수님이 친절하고 독일식 영어가 맛있어요"
에너지와 기술의 경제학,허은녕,23,Spring,3.0,"학점은 정말 잘 주세요. 근데 시키는게 정말 많아요..아주 귀찮습니다. 다만 난이도 자체가 아주 높지는 않아요
개인적으로 에너지와 환경 문제에 대해서 전공 수준으로 깊이 고민해보고 싶어서 문과생임에도 불구하고 들었는데 내용이 다소 가벼운 느낌이 많이 있어서 아쉬웠습니다. 에너지에 대해서 논하는건데 종종 너무 현실성이 없다는 느낌을 받을 때도 있었고..그런 점에서 별점을 좀 깎았습니다
그렇지만 오히려 에자공 수업 가볍게 들어보고싶다 하면 딱 좋을 것 같기도 합니다"
에너지와 기술의 경제학,허은녕,23,Spring,4.0,시키는거 너무너무너무 많아서 힘들었는데 학점받고 미화됨
