초급러시아어 1,윤서현,23,Spring,4.0,"교수님께서도 친절하시고 잘 가르치심. 개인적으로 만족스러운 강의였음. 다만, 러시아어에 관심이 없다면 아에 듣지 않는 것을 추천. 러시아어 자체가 복잡하고 어려움."
초급러시아어 1,이주홍,23,Winter,5.0,"외국어에 자신이 없는데, 달리 듣고 싶은거 없다면 초러 추천합니다. 23 겨울 계절 수강했습니다

드랍 정말 마려웠는데 진짜 걍 달리 들을 수 있는 외국어도 없어서 참고 들었습니다.

드랍 마려운 것도 솔직히 러시아어 자체가 어렵고, 방학때 바빠서 러시아 공부에 절대적인 시간 할애를 많이 못해서 스스로 자괴감이 들어서 그런거지

교수님과 조교님 수업에는 전혀 하자가 없었습니다. 오히려 제가 죄송할 수준이었음. 강의력 원탑입니다.. 

중간고사 정말 개망했고(꼴찌였을껄요) 기말고사는 그래도 좀 열심히 했는데 잘본편은 아닌듯. -> 에제

진짜 감사히 듣고 갑니다. 남는 것도 많은 수업. 남은 교양도 노문과 개설해주신 걸로 채우기로 마음먹었습니다. 많이 배워갑니다."
초급러시아어 1,이주홍,23,Fall,5.0,"최고의 강의.. 5점이 최대지만 마음 같아서는 6점을 드리고 싶습니다. 다른 외국어 수업 수강신청에 실패하여 러시아어에 관심이 있지도 않았지만 신청했는데, 기대 이상으로 너무 만족스러웠던 강의였습니다. 아무래도 러시아어의 난이도 때문에 섣불리 신청하기 꺼려질 수도 있지만, 그만큼 배려도 정말 많이 해주시고 강의력도 뛰어나셔서 들으셔도 후회 없을 강의라 장담합니다."
초급러시아어 1,이주홍,23,Fall,5.0,"그 어떤 단어로도 형용할 수 없는 관악 제2외국어 강의 중 최고의 강의라고 생각합니다. 러시아어라는 언어 자체가, 일단 문자부터 로마자가 아닌 키릴 문자를 기반으로 하고, 문법 체계나 단어 또한 영어와 어느정도 차이가 있어서, 언어 자체의 난이도가 꽤나 높은 편인데, 학생들의 편의를 많이 봐주셔서 외워야 할 부분을 딱 짚어주십니다. 그 뿐만이 아니라, 강의력 자체도 뛰어나셔서, 이번 학기에 유일하게 단 한번도 졸은 적이 없던 수업입니다. 월, 수가 기다려졌던 이유였습니다. 

개인적인 이유로 토르플을 준비하고자 하여 교수님께 몇가지를 여쭤보았더니 토르플 1급 대비 단어장 pdf 파일도 보내주시고, 독감으로 쪽지시험날에 결석하게 되자, 다른 날에 따로 보자고 말씀해주실만큼, 정말정말정말 인품도 뛰어나시고 학생을 많이 아껴주시는 분입니다. 그 뿐만이 아니라, 수업시간과 러시아어라는 언어 자체를 굉장히 소중히 여기신다는 느낌도 들었고, 한 학기뿐이지만 고등학교 은사님들께 느꼈던 감정을 받을 수 있던 수업이었습니다. 사랑합니다, 이주홍 교수님."
초급러시아어 1,이주홍,23,Fall,5.0,"20명으로 시작해, 6명이 드랍해서 전체 인원의 30%인 드랍자를 아래에 두고 나머지 70%인 수강생들에게 A를 주셨을 겁니다.

하지만 성적과는 별개로 수업이 꽤 재밌었습니다.

언어가 어려울 수 있지만, 그렇게 어렵게 느껴지지 않은 것은 수업을 아주 능숙하게 진행하는 강사님의 실력 덕분이었다고 생각합니다.

저는 강의평을 보고 미리 키릴 문자만 외워갔는데 꽤 도움이 되었습니다.
다만 다른 문법 등에 대해 겁을 주는 말들이 많았지만 절대 그 정도는 아니었습니다. 암기량이 많다는 데에도 동의할 수 없고요.

초급 스페인어 1을 수강한 적이 있었는데 그때보다 더 쉽고 공부량이 적었다고 생각합니다. 애초에 외워야 할 어휘와 문법을 정확히 찍어서 알려주시기에 외워야 할 양이 적거든요. 물론 회화적 표현(숫자를 외운 후, 지금은 n시야 같은 표현 쓰기) 또한 공부해야 겠지만 이 역시 양이 그리 많지 않으며 전부 예상문제를 나누어 주시면서 한 번 더 직전대비를 시켜주시기에 전혀 어렵지 않았습니다.

물론 제가 꾸준히 복습을 해왔기에 큰 부담을 느끼지 않았었던 것 같습니다. 만약 하루에 30분 정도씩만 이 과목을 복습하는데 투자할 수 있다면 무조건 들으세요. A+은 확정입니다."
초급러시아어 1,이주홍,23,Fall,5.0,"이 강의를 장바구니에서 확정지은건 그야말로 행운이라고 볼 수 있습니다. 강평이 너무너무 좋아서 외국어 치운다는 생각으로 들어왔는데 교수님이 신이에요. 

Juhong Lee you are goat. 

일례로 제가 학교 활동 때문에 빠진적이 있었는데, 과거 온라인 강의 시절 동영상 자료를 보내주셨습니다. 근데 그러면서도 당시 수업 녹화를 못해줘서 죄송하다고 하시더군요. 또 질문이 있으시면 카톡으로 바로바로 받아주십니다. 인품이 흠잡을 데가 없으세요.

사실 언어 자체는 꽤 빡쎄긴 한데, 시험 공부 분량도 많이 줄여주시고 교수님 인품만으로도 들어볼 만한 강의라고 생각합니다. 

성적은 중간 148/150, 기말은 공개 안해주셨는데 (아마 거의 다 맞았을거에요) 에쁠이고, 버티고 공부하시면 시험과 학점에 변수가 없습니다. 

무조건 드랍자가 생길 수 밖에 없는 언어라 버티는 사람이 승자입니다. 외국어 치우시고 싶으신 분들, 러시아어 관심있으신분들 모두 추천합니다."
초급러시아어 1,이주홍,23,Fall,5.0,어려운 언어지만 교수님이 그냥 인성왕임. 학생들하고 같은 경험을 만들어나간다는 생각으로 정말 수업시간을 소중히 다루시는 것처럼 느껴졌음 시험은 그냥 통암기여서 열심히하면 에이쁠가능 이번학기는 절대쳥가라고 하셨음 열심히 하면 다 에이쁠 준다던데 나는 시험 잘 봐서 에이쁠 맞음
초급러시아어 1,이주홍,23,Fall,5.0,교수님 ㄹㅇ 천사. 무조건 들으삼. 한가지 주의할 점은 교수님의 이거만 하고 수업 끝낸다는 말. 마지막이라는 말은 절대 믿지 마셈
초급러시아어 1,이주홍,23,Fall,5.0,"교수님이 너무 착하시고 최대한 설명도 잘해주시려고 하십니다 
가끔씩은 노래도 불러주시는...
근데 강의평만보고 러시아어듣는건 비추드립니다 정보량이 너무많아요"
초급러시아어 1,이주홍,23,Fall,5.0,교수님 너무 좋아요 러시아어 어려운데 편의 많이 봐주시고 교수님이 굉장히 열정적이십니다. 이번학기에 가장 열심히 듣는 수업이에요
초급러시아어 1,이주홍,23,Summer,5.0,"언어 자체는 객관적으로 어려운 것 같습니다. 명사랑 형용사는 주격, 전치격, 대격, 생격 등 격에 따라서 단어 형태가 바뀌는데, 예외가 꽤 많아서 일일히 다 외워야하고, 동사도 인칭이랑 단복수에 따라서 변하는데, 일정한 규칙이 있긴하지만 마찬가지로 예외가 꽤 됩니다. 단어의 성이나 격변화 같은 생소한 문법이 꽤 되는데다 단어 자체를 외우는 것도 쉽지 않아서 언어를 배우기가 만만하지는 않았던 것 같습니다.

하지만 초러1에서 다루는 범위가 지나치게 넓은 것도 아닌데다, 교수님 두 분의 강의력이 좋으셔서 수업 따라가면서 복습만 제 때 해도 따라가기 벅찰 정도는 아닐 것 같습니다. 

또, 계절이라 저희를 교수님께서 많이 배려해주셔서 이 부분이 더 크게 느껴진 것 같기도 합니다만, 시험 출제 유형과 작문 출제 문장들을 A4 몇 페이지 이내로 정리해서 나눠주시는데, 그 덕에 시험 전 공부해야할 범위가 많이 줄어듭니다.

저같은 경우에는 위에 '제 때 복습'이라는 말을 써두긴 했으나, 시험 전날까지도 배운 내용이 전혀 정리되지 않았을 정도로 예복습따위 하지를 않았었습니다ㅎㅎ... 하지만 전날 밤에 시작해서 대략 10시간정도만 투자해서 교수님께서 나눠주신 시험 대비 자료를 중심으로 단어들 암기하고, 교재는 문법위주로만 정리해서 숙지했더니 두 시험 모두 자잘한 감점은 있었겠지만 빈칸 없이 다 쓰고 나올 수 있었습니다!

계절에 외국어를 치우고는 싶고, 수강신청 망해서 못 듣게 되는 일이 생기지는 않았으면해서 장바구니에서 잡힌다는 초러1을 듣게 된 것이었는데, 소 뒷걸음 치다 쥐 잡은 꼴이네요ㅎㅎ

러시아어라는 언어 자체의 장벽이 높아서 그렇지,개인적으로 명강이자 꿀강이라고 생각합니다!"
