축구,이승주,23,Fall,5.0,"한 학기 동안 재밌게 배웠습니다!!
축구에서 기초적인  볼 컨트롤이나 패스, 드리블, 킥 자세 등을 잘 알려주셔서 좋았습니다."
축구,이지호,23,Fall,5.0,"마지막 기말고사 빼고 모든게 완벽했던 수업..
동상 걸려서 발가락 잘라야하는줄 알았다 ㄹㅇ"
축구,김정준,23,Spring,5.0,"40분 정도 가르침과 훈련이 있고 그 후는 반으로 나눠 50분 정도 경기합니다. 갈수록 다들 실력 느는게 웃겼어요 ㅋㅋ 체계적인 훈련과 깔끔한 경기 진행 덕분에 한학기 힐링하고 가요! 한학기 지나면 체력도 늘고 경기 참여 능력도 늡니다! 갓정준 최고
+ 과제는 축구여행 계획 세우기 기말과제 하나였어요"
축구,장도진,23,Spring,5.0,학기중에 축구 재밌게할수 있어서 너무너무 좋았습니다ㅎㅎ
축구,장도진,22,Spring,5.0,"교수님이 형님같이 좋으십니다!
나름 체계적으로 축구를 배울 수 있어요!"
축구,장도진,22,Fall,5.0,"친절하시고
잘 알려주십니다
재밌는 수업이에요"
축구,장도진,22,Fall,5.0,적당히 재밌게 축구 하면서 힐링했습니다. A+이 마냥 쉽진 않으니 S/U로 듣는 것 추천합니다.
축구,장도진,22,Fall,3.0,"성적이 아쉽네요 수업은 너무 좋습니다
팀별 연습 많이 하고 교수님께서 열심히 수업 꾸리십니다
아쉬운건 성적 뿐"
축구,장도진,22,Fall,4.0,"올출 과제딜레이 없고 운동 능력 보통이었는데 A0 받았습니다
조금 슬프네용 에이플 노리시는 분들은 다른 강의 찾아서 들으시면 좋을거같습니다 수업은 매번 팀으로 축구하는데 많이 뛰는거 싫어하시는 분들도 다른거 들으세요 맞으시면 괜찮습니다"
축구,장도진,22,Spring,5.0,너무 잘 들었어요..! 인원이 적어 아쉬웠지만 잘 지도해주셨고 학점도 잘 주셨습니다
축구,장도진,22,Spring,5.0,대면 수업이었는데 교수님이 학생들을 편하게 대하시고 즐거운 축구할 수 있었습니다. 실력과 상관없이 열심히 하면 됩니다
