물리학실험 2,박홍규,23,Fall,5.0,보고서가 2개가 되고 나서 정말 편해진 것 같습니다
물리학실험 2,김은종,23,Fall,5.0,"김지원 조교님은 신이에요.

지금도 개꿀과목으로 느껴지는데

물실이 이제 보고서도 없다고???"
물리학실험 2,장소연,23,Fall,5.0,"굳굳 보고서도 없어지니 빨리 듣고 치웁시다
뻘짓만 안하면 패스 나와요~"
생물물리학,고준석,23,Fall,5.0,"띵강 윤태영교수님 고준석 교수님 수업이었는데 두 분 다 좋았다

윤태영 교수님 시험은 채점이 진짜 엄청 까다롭다. 절대 심화 안 하시고 배운 거에서만 내시는데 키워드 기준이 엄청 까다로우니까 수업 잘 듣고 이해 안 되는 거 다 찾아보시고 최대한 모든 걸 다 쓰면 잘 받을 수 있을 것

고준석 교수님 수업은 되게 어려운데 또 막상 뜯어보면 그렇게 아렵지 않은?? 요상한 수업.. 바로바로 복습하면 다 이해되는데 그게 어렵죠. 시험 4문제고 1번 맞고 다 틀려도 평균임. 시험 문제 다 알려주시니까 열공을 하자.."
물리학실험,PARK YUN,23,Fall,5.0,"1. 강의

메뉴얼을 따라 실험을 해서 데이터를 모아서 랩노트를 쓰는 것을 
8주 동안 하는 강의. 8번만 실험을 하기 때문에 중간중간 휴강도 있고 
S/U라 랩노트를 대충 휘갈겨도 부담없는 좋은 강의.
실험을 빨리 끝내면 강의시간을 채우지 않아도 집에 갈 수 있다.


2. 과제

랩노트 제출 8번, 보고서 제출 2번이지만 
내년부터는 랩노트 제출만 요구하는 듯.

랩노트 (10점 만점)
1: 8.25
2: 8
3: 10
4: 8.5
5: 9.5
6: 9
7: 10
8: ?

보고서 (100점 만점)
3: 91
8: 89


3. 시험

없음


4. 성적

S"
물리학실험 1,류제경,23,Spring,5.0,S/U 없어지기 전에 빨리 해치우시길🫣🫣
물리학실험 1,류제경,23,Spring,4.0,대충대충익선. 그냥 대충해서 치우는게 답. 나는 탈출했다. 수고 ㅋㅋ
물리학실험 1,류제경,23,Spring,5.0,결석 안 하고 보고서 기한 맞춰 내기만 하면 됩니다.
물리학실험 1,류제경,23,Spring,5.0,메뉴얼 읽고 퀴즈랑 프리랩 준비하고 실험하는 거랑 보고서 귀찮긴 한데 s/u가 모든 것을 미화해줍니다. 그냥 어느 정도만 하면 S 나올듯. 후딱 해치우시길.
물리학실험 1,류제경,23,Spring,2.0,"S/u 라 그나마 낫지만 정말 귀찮았습니다
계절 안 열리니깐 빨리 해치우세요"
물리학실험,김지훈,21,Spring,3.0,그냥 가벼운 마음으로 수강하세요. 로드도 많고 학점도 받기 힘듭니다.
물리학실험 1,박제근,23,Spring,5.0,보고서 4개 줄어서 꿀~ 그래도 물실은 물실이다.. 이 보고서에 겨우 1학점.....
