초급프랑스어 2,홍인혜,23,Summer,5.0,"교수님 귀여우세요
과목 자체의 난이도는 높기 때문에 시험이 쉽지는 않아요
수업 들으면서 머리 싸맨 적은 많지만, 성적은 너그럽게 주십니다!"
초급프랑스어 2,홍인혜,22,Fall,5.0,"교수님 정말 귀여우시고 친절하십니다.
수강생이 별로 없어 소수정예로 수업을 했었는데 다들 열심히 배우려는 분위기에서 교수님께서도 정말 열심히 가르쳐주셨습니다. 교수님께서는 프랑스 문학 전공하셔서 재밌는 소설이나 뮤지컬도 추천해주시고 프랑스 가서 연구하실 때 겪었던 이야기 등등 재밌는 이야기 많이 해주셨습니다.
한 단원의 수업이 끝날 때 교과서에 실린 연습과제 수기로 써오는 숙제가 매주 1회 정도의 주기로 있습니다. 문제가 적어서 부담은 적습니다. 시험은 중간, 기말, 그리고 중간 전 1회, 기말 전 1회의 쪽지시험이 있습니다. 쪽지시험으로 중간과 기말 시험을 대비한다는 느낌입니다. 쪽지시험 친 결과로 중간과 기말 시험 난이도도 조절해주셔서 난이도는 그럭저럭 풀만 합니다. 교과서 본문보다는 문법 사항들 위주로 내십니다. 헷갈리는 문법이 많았어서 쉽다고 할 수는 없고, 그렇다고 극악 난이도도 아닙니다.
성적은 절대평가로 주셨습니다. 이번 학기 열심히 들었던 것에 비해 시험 성적이 살짝 아쉬웠는데, 그래도 에이쁠 받았습니다. 후하게 주시려고 노력하시는 것 같습니다."
초급프랑스어 2,허지영,23,Fall,5.0,"초프1에 이어 수강했습니다.
교수님 정말 친절하시고 좋았습니다!"
초급프랑스어 2,허지영,23,Spring,5.0,"장점밖에 없습니다. 단점이라곤 찾아볼 수 없는 강의입니다. 일단 교수님 발음이 네이티브 그 자체라서 듣기에 너무 편안합니다. 과제는 일주일에 한 번 꼴로 나가는데, 단원별 연습문제를 풀어 올리는 거라서 공부에도 도움이 되고 시간을 조금만 투자하면 잘 해낼 수 있습니다. 시험은 교재를 꼼꼼히 공부한다면 실력 불문하고 풀 수 있습니다. 물론 프랑스어 실력이 어느 정도 있으시다면 더 빨리 익힐 수야 있겠지만, 초보라 해서 못 풀거나 그럴 일은 없습니다. 모두 교재 안에 있는 내용으로 나오고, 그 중에서도 지나치게 복잡한 건 나오지 않습니다."
초급프랑스어 2,허지영,22,Fall,3.0,교수님 친절하신데 내가 너무 프랑스어를 못하는듯.......................... 숙제 열심히하고 수업 열심히 듣고 내가 할 수 있는 한 시험도 봤다 생각했는데 어디서부터 잘못됐지..교수님은 친절하세요..........
초급프랑스어 2,허지영,22,Winter,4.0,"교수님 친절하시고 좋으세요
성적은 등수맞춰 주시는 듯"
초급프랑스어 2,허지영,21,Fall,5.0,"수업 너무 재밌게 들었고 교수님께서 궁금한 점 바로 질문할 수 있도록 분위기를 만들어주셔서 좋았습니다. 시험은 중간 기말 각각 20문제 안팎이었고, 체감상 기말이 조금 더 난이도 있었던 것 같아요~교과서를 막 통으로 암기하기보다는 문법 사항 이해하고, 어느정도 작문(쉽게 내주십니다)과 해석 할 줄 알고, 문장에 문법 적용해서 쓸 줄 알면 잘 볼 수 있습니다. 성적도 잘 주시고 숙제 피드백도 잘 해주시고 메일 답장도 빨리 주셔서 한 학기동안 배워가는 게 많았습니다~"
초급프랑스어 2,허지영,21,Fall,5.0,"교수님 강의력도 좋고 정말 친절하시고 학점까지 잘 주십니다!!! 그저 빛...
시험은 예문 다 외우기보다는 기본 문법 완벽하게 숙지하고 단어 열심히 외우면 돼요 별로 어렵지 않음!!"
초급프랑스어 2,허지영,21,Spring,5.0,"일단 외국어 수업은 안 졸리고 활기찬 게 가장 좋은 것 같습니다! 초프 졸려서 드랍했던 전적이 있는데 이번 수업은 교수님 딕션이 워낙 또랑또랑하시고 수업 템포도 빨라서 끝까지 잘 들었습니다. 시험은 외국어치고 어렵지 않게 내십니다! 과제는 한 챕터 끝날 딱마다 연습문제와 답, 우리말 해석을 써서 내는 것이었습니다. 
학점은 잘 주셨는데, 제가 공부를 좀 많이 열심히 했어서...후한 편이시라고 단정짓기는 어려울 듯합니다.
학우분들이 예습복습 다 해오셔서 수업 흐름이 빨랐습니다."
초급프랑스어 2,허지영,21,Spring,5.0,"정말.. 최고십니다
아침 수업이라 너무 피곤해서 드랍하려고 했는데 교수님 목소리가 정말 천사 같으시고 불어 발음이 황홀했습니다
모르는 내용은 수업 중간에 그때그때 물어보도록 권장하시고 자세히 이해할 수 있게 설명하려고 상당히 노력하십니다

시험도 쉽게 나왔습니다"
초급프랑스어 2,장진영,21,Spring,5.0,"중간중간에 받아쓰기 시험을 몇 번 보는데 조금 틀려도 성적 받는데에 큰 지장은 없었던 것 같고, 저는 시험공부 미리 한다는 생각이 들어서 괜찮았던 것 같아요. 시험범위도 교재에서 좀 추려주셔서 외국어치고는 편하게 잘 들은 것 같습니다. 시험도 응용 거의 없이 공부한 데에서 다 나와서 좋은 것 같아요! 추천드립니당"
